Bölge Müdürlüğü,Şube Kodu,Segment Kodu Tanım,Ürün Aile Adı,Ürün Grup Adı,Ana Ürün Adı,Bireysel Ticari,Ana Skont,Tarih,Kullandirim Tutari (Orj),Kullandirim Tutari - TL,Risk Bakiyesi,Doviz Cinsi
C Bölge Müdürlüğü,IT-592-070,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,118302,2016-03-02,5000000,5000000,13108589,TL
C Bölge Müdürlüğü,IT-592-080,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-07-08,3000000,3000000,58416648,TL
A Bölge Müdürlüğü,IT-592-020,Kobi,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-02-03,600000,600000,982732,TL
B Bölge Müdürlüğü,IT-592-000,Kobi,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-11-02,2500000,2500000,17404652,TL
B Bölge Müdürlüğü,IT-592-079,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-10-05,2130000,2130000,6044574,TL
D Bölge Müdürlüğü,IT-592-077,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-10-18,400000,400000,710491,TL
C Bölge Müdürlüğü,IT-592-081,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,Araç Kredisi,T,118301,2015-09-16,372500,372500,5966191,TL
B Bölge Müdürlüğü,IT-592-025,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,140302,2015-03-03,3000000,3000000,8158827,TL
A Bölge Müdürlüğü,IT-592-065,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,118302,2015-03-31,50000,50000,59979,TL
D Bölge Müdürlüğü,IT-592-013,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,Yatırım Kredisi,T,140302,2016-06-03,2500000,2500000,2668264,TL
B Bölge Müdürlüğü,IT-592-021,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,Yatırım Kredisi,T,140302,2016-06-21,2500000,2500000,4777851,TL
C Bölge Müdürlüğü,IT-592-017,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910101,2015-05-07,50000,50000,52416,TL
